order_number,customer_name,customer_email,product_name,product_sku,quantity,total_amount,order_date,shipping_status,tracking_number,carrier,delivery_address
#60787,Donna Rogers,donna.rogers79@yahoo.com,Cable Management Box,CMB-108,2,49.98,2026-03-03,pending,,,"6873 Cedar Ln, Philadelphia, PA 19101"
#98375,Sarah Sullivan,sarah.sullivan15@proton.me,Mini Projector,MP-113,3,599.97,2026-01-12,shipped,1Z2457602750644593,UPS,"7301 Lakeview Dr, Cincinnati, OH 45201"
#95986,Susan Moore,susan.moore5@hotmail.com,Smartwatch,SW-119,1,199.99,2026-01-02,shipped,58382032845535,Amazon Logistics,"2862 Sunset Blvd, Minneapolis, MN 55401"
#25700,Katherine Moore,katherine.moore75@outlook.com,Earbuds Pro,EP-121,4,399.96,2025-12-07,delivered,1Z5062322410351371,UPS,"9672 Valley Rd, Honolulu, HI 96801"
#15384,Janet Evans,janet.evans34@yahoo.com,Standing Desk Mat,SDM-101,3,167.97,2026-03-28,shipped,27956949432406,Amazon Logistics,"5524 Cedar Ln, Nashville, TN 37201"
#84785,Donald Murphy,donald.murphy2@gmail.com,Webcam HD 1080p,WC-500,2,159.98,2025-12-31,delivered,06458361317166358095,USPS,"6008 Willow Way, Detroit, MI 48201"
#76409,Thomas Lewis,thomas.lewis59@outlook.com,Air Purifier,AP-115,4,519.96,2026-05-01,delivered,55024945728011,LaserShip,"1857 Hillside Rd, Honolulu, HI 96801"
#80402,Stephanie King,stephanie.king83@hotmail.com,Ergonomic Chair,EC-900,1,299.99,2026-04-02,out_for_delivery,1Z4700744871769582,UPS,"8497 Maple Dr, Houston, TX 77001"
#18343,Elizabeth Moore,elizabeth.moore9@outlook.com,Mouse Pad XL,MPX-109,3,68.97,2026-05-12,shipped,1Z4678221937770719,UPS,"8559 Broadway, San Jose, CA 95101"
#99681,Pamela Smith,pamela.smith66@proton.me,Fitness Tracker,FT-120,2,179.98,2025-11-29,shipped,1Z7046385528366961,UPS,"1477 Lakeview Dr, Bakersfield, CA 93301"
#67957,Mary Wright,mary.wright25@yahoo.com,Smart Bulb Pack,SBP-114,2,79.98,2026-03-23,pending,,,"907 Washington Blvd, Corpus Christi, TX 78401"
#78478,Jacob Ortiz,jacob.ortiz89@outlook.com,Notebook Hardcover,NB-142,1,14.99,2026-03-18,shipped,1Z3043657912525367,UPS,"9449 Valley Rd, Louisville, KY 40201"
#80902,Patrick Adams,patrick.adams74@yahoo.com,Wireless Mouse,WM-100,4,199.96,2026-04-29,shipped,1Z1720465193338921,UPS,"8301 Maple Dr, Indianapolis, IN 46201"
#69079,Kimberly Mitchell,kimberly.mitchell16@yahoo.com,4K Webcam,4KW-112,2,299.98,2025-12-27,delivered,32540309825350,OnTrac,"7642 Oak Ave, Philadelphia, PA 19101"
#45823,Susan Henderson,susan.henderson64@outlook.com,Smart Plug,SP-104,4,79.96,2026-03-31,shipped,17655129827735,LaserShip,"8144 Maple Dr, Kansas City, MO 64101"
#30927,Paul Moore,paul.moore26@hotmail.com,Green Screen,GS-127,3,137.97,2025-11-22,delivered,1Z1736661141455260,UPS,"9511 Highland Ave, Indianapolis, IN 46201"
#89808,Rebecca Morgan,rebecca.morgan20@gmail.com,Mechanical Numpad,MN-124,3,167.97,2026-01-20,shipped,66949981249191,OnTrac,"9262 Elm St, Detroit, MI 48201"
#17999,Amanda Wilson,amanda.wilson30@yahoo.com,Smart Plug,SP-104,4,79.96,2026-03-05,pending,,,"4065 Broadway, Bakersfield, CA 93301"
#35002,Timothy Fisher,timothy.fisher71@outlook.com,Mechanical Keyboard,MK-200,2,179.98,2026-05-09,shipped,94910742532299,Amazon Logistics,"6535 Broadway, Dallas, TX 75201"
#97357,Gary Gomez,gary.gomez78@outlook.com,Webcam HD 1080p,WC-500,3,239.97,2025-12-12,delivered,31784417232616,Amazon Logistics,"2282 Sunset Blvd, Memphis, TN 38101"
#93893,Jacob Foster,jacob.foster85@proton.me,CPU Cooler,CC-133,2,99.98,2026-05-08,shipped,1Z7481779215929970,UPS,"9984 Cedar Ln, New Orleans, LA 70112"
#62075,John Watson,john.watson46@icloud.com,Ergonomic Chair,EC-900,4,1199.96,2026-04-28,pending,,,"3371 Meadow Ln, Austin, TX 73301"
#12183,Edward Taylor,edward.taylor48@gmail.com,Whiteboard Markers Set,WMS-140,3,38.97,2026-03-30,delivered,82778150697320,Amazon Logistics,"3573 Hillside Rd, Pittsburgh, PA 15201"
#22398,Jerry Diaz,jerry.diaz5@icloud.com,Earbuds Pro,EP-121,2,199.98,2025-12-22,processing,,,"5195 Pine Rd, Los Angeles, CA 90001"
#41504,Sarah Ward,sarah.ward45@gmail.com,Portable SSD 1TB,SSD-102,1,109.99,2026-01-11,processing,,,"9928 Park Ave, New Orleans, LA 70112"
#39458,Brandon Smith,brandon.smith54@outlook.com,RAM 16GB DDR4,RAM-132,1,59.99,2026-05-13,delivered,1358376773,DHL,"7444 Oak Ave, Omaha, NE 68101"
#19946,Kenneth Evans,kenneth.evans70@gmail.com,Cable Organizer Kit,COK-134,3,53.97,2026-04-19,shipped,68551106893046,OnTrac,"3014 Lakeview Dr, Charlotte, NC 28201"
#54782,Kevin Long,kevin.long29@yahoo.com,Capture Card,CC-126,1,89.99,2026-04-12,delivered,72611768613078,OnTrac,"3524 Willow Way, Chicago, IL 60601"
#20625,Steven Torres,steven.torres47@yahoo.com,Smartwatch,SW-119,4,799.96,2026-05-09,shipped,22562325169834,OnTrac,"2142 Broadway, San Francisco, CA 94101"
#10267,Amanda Wood,amanda.wood87@gmail.com,Desk Organizer,DO-116,3,83.97,2026-02-11,delivered,968957850049,FedEx,"7192 Hillside Rd, Phoenix, AZ 85001"
#99801,Frank Hughes,frank.hughes60@icloud.com,Surge Protector,SP2-135,3,98.97,2025-12-11,delivered,4907175720,DHL,"5190 Park Ave, Bakersfield, CA 93301"
#83634,Gary Barnes,gary.barnes6@yahoo.com,Mechanical Numpad,MN-124,2,111.98,2026-02-28,delivered,09581739318162,Amazon Logistics,"4721 Cedar Ln, Oklahoma City, OK 73101"
#72705,Sharon Ortiz,sharon.ortiz66@hotmail.com,Notebook Hardcover,NB-142,2,29.98,2025-12-09,delivered,170600050032,FedEx,"5787 Willow Way, Richmond, VA 23218"
#42794,Sarah Martin,sarah.martin51@gmail.com,Gaming Headset,GH-123,2,239.98,2026-02-11,delivered,150608719090,FedEx,"8908 Meadow Ln, Omaha, NE 68101"
#57569,Raymond Walker,raymond.walker22@icloud.com,Ring Light 10inch,RL-105,2,99.98,2025-12-30,delivered,00689703138623,LaserShip,"742 Forest Dr, Dallas, TX 75201"
#41402,Carol Rogers,carol.rogers60@icloud.com,Laminator,LAM-138,1,39.99,2026-04-25,shipped,20203390287786435482,USPS,"9038 Broadway, Raleigh, NC 27601"
#21562,Maria Morales,maria.morales52@icloud.com,Gaming Mouse,GM-122,4,279.96,2026-05-21,returned,54220068959666,Amazon Logistics,"1145 Hillside Rd, Tampa, FL 33601"
#13370,Helen Taylor,helen.taylor81@yahoo.com,Mechanical Numpad,MN-124,4,223.96,2026-04-04,processing,,,"9367 Willow Way, Arlington, TX 76001"
#68169,Samuel Barnes,samuel.barnes46@hotmail.com,Portable Monitor,PM-130,1,249.99,2025-12-08,out_for_delivery,07613237135235763728,USPS,"5683 Summit Ave, Richmond, VA 23218"
#75231,Betty Edwards,betty.edwards29@yahoo.com,Drawing Tablet,DT-111,2,319.98,2026-04-24,shipped,1Z2458169568763408,UPS,"4277 Summit Ave, Detroit, MI 48201"
#55468,Carolyn Torres,carolyn.torres52@yahoo.com,LED Desk Lamp,LDL-800,3,104.97,2026-04-22,pending,,,"3605 Cedar Ln, Minneapolis, MN 55401"
#54708,Eric Turner,eric.turner89@hotmail.com,Docking Station,DS-125,4,599.96,2026-04-02,delivered,0519540300,DHL,"2922 Main St, Denver, CO 80201"
#71784,Jessica Sanchez,jessica.sanchez11@proton.me,Desk Organizer,DO-116,1,27.99,2026-04-25,delivered,44170137513148,Amazon Logistics,"5276 Cedar Ln, Philadelphia, PA 19101"
#39843,Stephen Powell,stephen.powell10@yahoo.com,USB-C Hub,UCH-300,4,159.96,2026-04-16,delivered,0705041420,DHL,"9661 Willow Way, Indianapolis, IN 46201"
#31508,Justin Jenkins,justin.jenkins86@outlook.com,Portable Monitor,PM-130,3,749.97,2026-04-23,shipped,1Z0701798603570066,UPS,"3342 Lake Dr, Nashville, TN 37201"
#91048,Nicholas Rivera,nicholas.rivera30@yahoo.com,Cable Organizer Kit,COK-134,3,53.97,2026-02-09,delivered,88047777848932095898,USPS,"7671 Summit Ave, Memphis, TN 38101"
#68718,Rachel Miller,rachel.miller44@proton.me,Mouse Pad XL,MPX-109,3,68.97,2025-12-01,delivered,331573223592,FedEx,"2450 Sunset Blvd, Detroit, MI 48201"
#52276,Rebecca Thompson,rebecca.thompson73@hotmail.com,Smartphone Gimbal,SG-129,1,109.99,2025-12-11,delivered,1Z4725888059386629,UPS,"5009 Sunset Blvd, Cleveland, OH 44101"
#51553,Robert Torres,robert.torres66@hotmail.com,USB Microphone,UM-110,4,359.96,2026-04-04,out_for_delivery,171267647979,FedEx,"2207 Forest Dr, New Orleans, LA 70112"
#37591,Brenda Garcia,brenda.garcia24@hotmail.com,Docking Station,DS-125,1,149.99,2025-12-29,processing,,,"8026 Willow Way, New Orleans, LA 70112"
#91124,Amy Jones,amy.jones40@gmail.com,USB-C Hub,UCH-300,2,79.98,2026-01-11,shipped,069815355784,FedEx,"7481 Summit Ave, Honolulu, HI 96801"
#13856,Laura Hall,laura.hall35@hotmail.com,Notebook Hardcover,NB-142,3,44.97,2026-02-05,delivered,83687713030328,Amazon Logistics,"2256 Valley Rd, Salt Lake City, UT 84101"
#78446,Jack Young,jack.young59@gmail.com,Portable Monitor,PM-130,3,749.97,2026-04-18,delivered,27723216832724,Amazon Logistics,"4447 Oak Ave, St. Louis, MO 63101"
#45207,Andrew Rivera,andrew.rivera75@proton.me,Shredder,SH-137,2,179.98,2026-04-24,delivered,31866351827182,OnTrac,"1145 Lakeview Dr, Columbus, OH 43085"
#72143,George Cruz,george.cruz63@icloud.com,Laminator,LAM-138,4,159.96,2026-04-06,out_for_delivery,97425950093384,LaserShip,"8857 Washington Blvd, Portland, OR 97201"
#88111,Anna Watson,anna.watson96@proton.me,Gaming Headset,GH-123,4,479.96,2026-01-26,shipped,1Z3887645911727904,UPS,"8145 Oak Ave, Las Vegas, NV 89101"
#66143,Katherine Smith,katherine.smith61@proton.me,Cable Management Box,CMB-108,3,74.97,2026-03-11,shipped,097142307361,FedEx,"8553 Lake Dr, Indianapolis, IN 46201"
#98931,Jack Nelson,jack.nelson94@gmail.com,NVMe SSD 500GB,NVM-131,3,239.97,2025-12-28,delivered,53270355083213,Amazon Logistics,"5287 River Rd, Jacksonville, FL 32099"
#14569,Maria Hill,maria.hill14@gmail.com,Laptop Stand,LS-700,3,137.97,2026-05-02,delivered,1Z1787570321401083,UPS,"9133 Maple Dr, Albuquerque, NM 87101"
#67759,Anthony Perry,anthony.perry34@outlook.com,Whiteboard Markers Set,WMS-140,1,12.99,2026-04-14,shipped,13091695680288,Amazon Logistics,"8144 Pine Rd, Charlotte, NC 28201"
#18190,Nancy Jackson,nancy.jackson27@outlook.com,Earbuds Pro,EP-121,2,199.98,2026-01-07,delivered,81784272708468,Amazon Logistics,"262 Willow Way, Baltimore, MD 21201"
#67606,Larry Morales,larry.morales24@gmail.com,Gaming Mouse,GM-122,2,139.98,2025-12-12,shipped,1Z1600931576735784,UPS,"6917 Broadway, Corpus Christi, TX 78401"
#20814,Joseph Rivera,joseph.rivera93@hotmail.com,Drawing Tablet,DT-111,2,319.98,2026-02-08,pending,,,"1007 Forest Dr, Columbus, OH 43085"
#35394,Kimberly Rodriguez,kimberly.rodriguez34@outlook.com,Drawing Tablet,DT-111,4,639.96,2026-02-07,shipped,47096209812950,OnTrac,"5190 Hillside Rd, Phoenix, AZ 85001"
#41888,Samuel Moore,samuel.moore53@icloud.com,CPU Cooler,CC-133,4,199.96,2026-01-14,delivered,86880209476751,LaserShip,"3384 Broadway, Phoenix, AZ 85001"
#39618,Patricia Turner,patricia.turner65@gmail.com,Phone Stand,PS-107,4,59.96,2026-03-04,shipped,1Z7908405508172531,UPS,"4808 Sunset Blvd, St. Louis, MO 63101"
#69338,Catherine Wilson,catherine.wilson10@outlook.com,Smart Plug,SP-104,3,59.97,2026-03-18,out_for_delivery,17841639168903,OnTrac,"3722 Broadway, Minneapolis, MN 55401"
#34603,Mary Green,mary.green32@gmail.com,Mechanical Numpad,MN-124,2,111.98,2026-05-20,out_for_delivery,1Z6409593951006337,UPS,"2595 Washington Blvd, Aurora, CO 80010"
#83202,Deborah Reed,deborah.reed39@proton.me,Laptop Backpack,LB-117,2,159.98,2026-04-21,delivered,1Z6735238437982247,UPS,"6922 Willow Way, Arlington, TX 76001"
#73670,Amanda Hill,amanda.hill58@gmail.com,USB-C Hub,UCH-300,1,39.99,2026-03-31,shipped,74727534695360,OnTrac,"1469 Valley Rd, Miami, FL 33101"
#25023,Mark Rivera,mark.rivera19@outlook.com,LED Desk Lamp,LDL-800,2,69.98,2026-01-20,pending,,,"3740 Sunset Blvd, Baltimore, MD 21201"
#96350,Carolyn Wright,carolyn.wright53@icloud.com,Smart Bulb Pack,SBP-114,3,119.97,2025-11-22,delivered,39093786896441,Amazon Logistics,"5604 Lake Dr, Anaheim, CA 92801"
#51841,Edward Perez,edward.perez57@icloud.com,Capture Card,CC-126,3,269.97,2026-01-31,shipped,27023491375874333213,USPS,"5262 Hillside Rd, Albuquerque, NM 87101"
#41741,Ryan Jenkins,ryan.jenkins5@yahoo.com,Smartphone Gimbal,SG-129,3,329.97,2026-05-16,pending,,,"3927 Meadow Ln, Sacramento, CA 95814"
#47629,Michelle Russell,michelle.russell37@hotmail.com,Stapler Heavy Duty,SHD-139,3,74.97,2025-12-24,shipped,3395003639,DHL,"3565 Valley Rd, Honolulu, HI 96801"
#26019,Carolyn Hughes,carolyn.hughes42@hotmail.com,Smart Bulb Pack,SBP-114,1,39.99,2026-01-16,shipped,16042657691864,Amazon Logistics,"1042 Maple Dr, Kansas City, MO 64101"
#69651,Robert James,robert.james40@yahoo.com,Green Screen,GS-127,1,45.99,2025-12-12,shipped,38138172179685,LaserShip,"5823 Summit Ave, Jacksonville, FL 32099"
#99810,Carol Murphy,carol.murphy78@outlook.com,Gaming Headset,GH-123,2,239.98,2026-03-02,out_for_delivery,83009184153514,LaserShip,"9177 Washington Blvd, Anaheim, CA 92801"
#92195,Jacob Morales,jacob.morales96@proton.me,Planner 2026,PL-141,3,59.97,2026-05-09,shipped,5160928470,DHL,"7768 Maple Dr, St. Louis, MO 63101"
#26635,Charles Fisher,charles.fisher55@proton.me,RAM 16GB DDR4,RAM-132,3,179.97,2026-04-17,processing,,,"1032 River Rd, Salt Lake City, UT 84101"
#80173,Joshua Torres,joshua.torres80@gmail.com,Bluetooth Speaker,BS-106,3,209.97,2026-03-25,delivered,1Z1541105333200175,UPS,"1208 Maple Dr, Charlotte, NC 28201"
#53209,Jennifer Roberts,jennifer.roberts69@icloud.com,Drawing Tablet,DT-111,3,479.97,2026-04-12,shipped,148170247197,FedEx,"2686 Maple Dr, El Paso, TX 79901"
#85132,Justin Collins,justin.collins3@outlook.com,Mechanical Keyboard,MK-200,4,359.96,2026-02-18,delivered,67522854864549,LaserShip,"7442 River Rd, San Diego, CA 92101"
#76968,Michelle Price,michelle.price40@gmail.com,Smart Bulb Pack,SBP-114,4,159.96,2026-02-27,out_for_delivery,86862523902211,LaserShip,"3309 Lake Dr, Corpus Christi, TX 78401"
#78787,Janet Perry,janet.perry45@hotmail.com,Whiteboard Markers Set,WMS-140,2,25.98,2026-04-30,pending,,,"1698 Lake Dr, Austin, TX 73301"
#92618,David Butler,david.butler72@proton.me,Smart Plug,SP-104,4,79.96,2026-04-07,shipped,2603477701,DHL,"7813 Summit Ave, Dallas, TX 75201"
#44149,Maria Miller,maria.miller99@gmail.com,Surge Protector,SP2-135,2,65.98,2025-11-28,delivered,713875658857,FedEx,"7211 Washington Blvd, Jacksonville, FL 32099"
#68358,Karen Rivera,karen.rivera43@gmail.com,Planner 2026,PL-141,2,39.98,2026-04-28,shipped,21463390154902,Amazon Logistics,"8636 Highland Ave, Baltimore, MD 21201"
#48682,Emily Nguyen,emily.nguyen1@hotmail.com,Smartphone Gimbal,SG-129,3,329.97,2026-03-09,processing,,,"9615 Cedar Ln, Richmond, VA 23218"
#94307,Amanda Stewart,amanda.stewart88@proton.me,Notebook Hardcover,NB-142,2,29.98,2026-04-20,processing,,,"8384 Elm St, Memphis, TN 38101"
#63214,Benjamin Brown,benjamin.brown27@hotmail.com,Tripod Stand,TS-128,3,119.97,2025-12-06,delivered,21609834854772,LaserShip,"163 Valley Rd, San Francisco, CA 94101"
#63632,Eric Clark,eric.clark3@yahoo.com,Bluetooth Speaker,BS-106,4,279.96,2026-01-14,processing,,,"8761 Valley Rd, Seattle, WA 98101"
#51510,Betty Jones,betty.jones16@outlook.com,4K Webcam,4KW-112,3,449.97,2026-02-17,delivered,767155289687,FedEx,"7885 Forest Dr, Salt Lake City, UT 84101"
#72916,Helen Edwards,helen.edwards97@outlook.com,CPU Cooler,CC-133,3,149.97,2026-01-05,processing,,,"6675 Valley Rd, Las Vegas, NV 89101"
#33784,Carolyn Long,carolyn.long78@icloud.com,Label Maker,LM-136,2,89.98,2026-04-30,delivered,1Z7351373164065647,UPS,"4670 Highland Ave, Arlington, TX 76001"
#31750,Alexander Green,alexander.green78@outlook.com,Green Screen,GS-127,4,183.96,2026-03-07,delivered,13675852305102,Amazon Logistics,"8387 Cedar Ln, Cincinnati, OH 45201"
#75557,Brandon Davis,brandon.davis80@gmail.com,Portable Monitor,PM-130,4,999.96,2026-01-19,delivered,1Z2317315183360714,UPS,"3939 Oak Ave, Anaheim, CA 92801"
#42689,Melissa Phillips,melissa.phillips35@gmail.com,Earbuds Pro,EP-121,3,299.97,2026-04-29,delivered,0377887984,DHL,"3050 Broadway, Tampa, FL 33601"
#22681,Kathleen Nguyen,kathleen.nguyen44@hotmail.com,Ergonomic Chair,EC-900,3,899.97,2026-04-19,returned,2533264107,DHL,"2139 Willow Way, Springfield, IL 62701"
#42083,Amanda Lee,amanda.lee72@hotmail.com,Ring Light 10inch,RL-105,2,99.98,2026-03-14,shipped,5412174106,DHL,"1163 Meadow Ln, San Diego, CA 92101"
#84005,Maria Morales,maria.morales63@outlook.com,Gaming Mouse,GM-122,4,279.96,2026-01-03,processing,,,"9221 Summit Ave, Cleveland, OH 44101"
#89714,Emily Clark,emily.clark78@hotmail.com,CPU Cooler,CC-133,1,49.99,2025-12-19,delivered,1Z4007116043652662,UPS,"7282 Lakeview Dr, Salt Lake City, UT 84101"
#82312,Kenneth Henderson,kenneth.henderson16@yahoo.com,Monitor Stand,MS-400,4,239.96,2026-02-07,delivered,960332471460,FedEx,"5734 Summit Ave, Louisville, KY 40201"
#90982,Deborah Henderson,deborah.henderson86@proton.me,Smartphone Gimbal,SG-129,4,439.96,2026-03-13,cancelled,,,"5595 Maple Dr, Albuquerque, NM 87101"
#27060,Shirley Gutierrez,shirley.gutierrez27@proton.me,Earbuds Pro,EP-121,1,99.99,2026-02-07,delivered,7664208500,DHL,"2338 River Rd, New Orleans, LA 70112"
#66779,Angela Johnson,angela.johnson41@gmail.com,Planner 2026,PL-141,1,19.99,2026-01-20,processing,,,"6103 Sunset Blvd, Denver, CO 80201"
#22826,Anthony Green,anthony.green64@hotmail.com,Docking Station,DS-125,1,149.99,2026-03-15,delivered,88477824108861,LaserShip,"961 Forest Dr, Chicago, IL 60601"
#23718,Emma Lewis,emma.lewis11@icloud.com,LED Desk Lamp,LDL-800,2,69.98,2026-03-26,shipped,1Z7637551036718790,UPS,"3972 Washington Blvd, Miami, FL 33101"
#46799,Richard Roberts,richard.roberts29@hotmail.com,Ergonomic Chair,EC-900,1,299.99,2026-05-08,delivered,0844686799,DHL,"9036 Elm St, Kansas City, MO 64101"
#60676,Emma Cruz,emma.cruz95@outlook.com,Power Bank 20000mAh,PB-118,3,149.97,2025-12-10,delivered,00060298557393,LaserShip,"2999 Summit Ave, San Francisco, CA 94101"
#31313,Amy Ortiz,amy.ortiz87@yahoo.com,Power Bank 20000mAh,PB-118,1,49.99,2026-04-16,shipped,49861408969073,Amazon Logistics,"7520 Main St, Memphis, TN 38101"
#88778,Joseph Collins,joseph.collins45@hotmail.com,Stapler Heavy Duty,SHD-139,1,24.99,2026-04-20,shipped,8451858707,DHL,"7970 Cedar Ln, Denver, CO 80201"
#31664,David Reed,david.reed49@outlook.com,Wireless Mouse,WM-100,1,49.99,2026-01-16,shipped,13693773204967,Amazon Logistics,"7647 Valley Rd, Dallas, TX 75201"
#52113,Maria Lewis,maria.lewis12@outlook.com,Notebook Hardcover,NB-142,4,59.96,2026-02-24,pending,,,"1035 Broadway, Arlington, TX 76001"
#44981,Jessica Gray,jessica.gray46@hotmail.com,Capture Card,CC-126,2,179.98,2026-05-05,out_for_delivery,83959690770178,Amazon Logistics,"2408 Washington Blvd, Kansas City, MO 64101"
#71328,Michael Richardson,michael.richardson15@yahoo.com,Shredder,SH-137,1,89.99,2026-03-31,delivered,1Z6750826270369465,UPS,"3597 Maple Dr, Los Angeles, CA 90001"
#50560,Melissa Ward,melissa.ward41@yahoo.com,Ring Light 10inch,RL-105,3,149.97,2026-01-06,processing,,,"6453 River Rd, Miami, FL 33101"
#89638,Carolyn Adams,carolyn.adams19@outlook.com,Wireless Charger,WCH-103,2,59.98,2026-04-21,delivered,44199949210148,Amazon Logistics,"4529 Maple Dr, Aurora, CO 80010"
#63151,Jerry King,jerry.king20@icloud.com,Noise Cancelling Headphones,NCH-600,1,129.99,2026-04-04,shipped,1Z0065910909267132,UPS,"1407 Sunset Blvd, Denver, CO 80201"
#71341,Jeffrey Martin,jeffrey.martin19@proton.me,Earbuds Pro,EP-121,4,399.96,2026-02-03,delivered,61848488504154,Amazon Logistics,"1826 Lake Dr, Raleigh, NC 27601"
#75992,Heather Nguyen,heather.nguyen69@gmail.com,Wireless Charger,WCH-103,2,59.98,2026-02-07,delivered,36922351823800,Amazon Logistics,"2408 Sunset Blvd, Cleveland, OH 44101"
#29011,Jason Brooks,jason.brooks51@outlook.com,Ergonomic Chair,EC-900,4,1199.96,2026-05-04,shipped,21842526750730,OnTrac,"3164 Oak Ave, Nashville, TN 37201"
#62497,Jacob Brown,jacob.brown34@icloud.com,Power Bank 20000mAh,PB-118,2,99.98,2026-04-09,delivered,1Z7083806848807225,UPS,"3009 Hillside Rd, New Orleans, LA 70112"
#53288,Frank Clark,frank.clark84@gmail.com,Smart Bulb Pack,SBP-114,4,159.96,2026-01-24,delivered,27664413449985,Amazon Logistics,"6617 Meadow Ln, Houston, TX 77001"
#32808,Alexander Thompson,alexander.thompson13@hotmail.com,Laminator,LAM-138,1,39.99,2025-12-16,out_for_delivery,79627974930475,OnTrac,"9818 Forest Dr, Arlington, TX 76001"
#50888,Jennifer Gomez,jennifer.gomez47@hotmail.com,LED Desk Lamp,LDL-800,1,34.99,2026-04-05,shipped,652476602158,FedEx,"5824 Meadow Ln, Bakersfield, CA 93301"
